,PmtNo,BuyersPrice,SellersPrice,PNL,Rev,Exp,MtgBegBal,MtgPrinPaid,MtgIntPaid,MtgPrinArr,MtgIntArr,MtgEndBal,ArrBegBal,ArrAdded,ArrPaid,ArrForgiven,ArrEndBal,FinCost,DDCost,AcqCost,ServCost,FCCost,RehabCost,BK13Cost,SalesCommission,FirstLienPmt,AmortBegBal,AmortPrinDue,AmortIntDue,AmortEndBal
2018-10-01,11,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28005.191412992877,19.23182605913462,426.36817394098364,27985.959586933743
2018-11-01,12,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27985.959586933743,19.524623149412946,426.0753768507063,27966.43496378433
2018-12-01,13,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27966.43496378433,19.821877961785503,425.7781220383275,27946.613085822544
2019-01-01,14,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27946.613085822544,20.123658363361756,425.47634163675787,27926.489427459182
2019-02-01,15,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27926.489427459182,20.430033254458976,425.1699667456576,27906.059394204724
2019-03-01,16,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27906.059394204724,20.741072584412905,424.8589274157062,27885.31832162031
2019-04-01,17,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27885.31832162031,21.056847367482987,424.54315263263186,27864.261474252828
2019-05-01,18,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27864.261474252828,21.37742969912142,424.2225703009981,27842.884044553706
2019-06-01,19,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27842.884044553706,21.70289277237316,423.8971072277431,27821.181151781333
2019-07-01,20,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27821.181151781333,22.03331089465064,423.5666891054695,27799.147840886682
2019-08-01,21,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27799.147840886682,22.368759504639456,423.2312404954783,27776.779081382043
2019-09-01,22,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27776.779081382043,22.709315189571498,422.8906848105458,27754.06976619247
2019-10-01,23,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27754.06976619247,23.055055702679965,422.5449442974374,27731.01471048979
2019-11-01,24,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27731.01471048979,23.40605998095998,422.1939400191556,27707.60865050883
2019-12-01,25,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27707.60865050883,23.762408163198415,421.8375918369181,27683.846242345633
2020-01-01,26,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27683.846242345633,24.124181608258368,421.4758183918602,27659.722060737375
2020-02-01,27,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27659.722060737375,24.491462913654686,421.10853708646044,27635.23059782372
2020-03-01,28,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27635.23059782372,24.864335934435076,420.7356640656821,27610.366261889285
2020-04-01,29,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27610.366261889285,25.24288580229768,420.3571141978279,27585.123376086987
2020-05-01,30,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27585.123376086987,25.627198945006967,419.9728010551035,27559.49617714198
2020-06-01,31,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.49617714198,26.01736310623528,419.5826368938853,27533.478814035745
2020-07-01,32,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27533.478814035745,26.413467365429824,419.18653263468644,27507.065346670315
2020-08-01,33,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27507.065346670315,26.815602158298134,418.78439784182007,27480.249744512017
2020-09-01,34,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27480.249744512017,27.22385929736629,418.3761407027506,27453.02588521465
2020-10-01,35,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27453.02588521465,27.638331992988242,417.96166800713246,27425.387553221663
2020-11-01,36,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27425.387553221663,28.059114874587976,417.5408851255287,27397.328438347075
2020-12-01,37,0.0,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,28061.173689109535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27397.328438347075,28.486304012312758,417.1136959878059,27368.84213433476
